incident_id,service,severity,status,assigned_team,incident_date,description,customer_impact,resolution_minutes
INC100000,payment-api,P4,Closed,Platform,2025-01-01 00:00:00,VPN connections failing after password reset,Critical,468
INC100001,data-platform,P4,Closed,SRE,2025-01-01 20:00:00,Inventory data synchronization failed,Medium,518
INC100002,notification-service,P4,Resolved,DBA,2025-01-02 16:00:00,Messages delayed in processing,Critical,199
INC100003,order-service,P3,Resolved,Security,2025-01-03 12:00:00,VPN connections failing after password reset,Medium,263
INC100004,order-service,P3,Closed,Security,2025-01-04 08:00:00,Database connection pool exhausted,Low,680
INC100005,data-platform,P4,Closed,Application Support,2025-01-05 04:00:00,Users unable to authenticate,None,614
INC100006,payment-api,P3,Closed,Network,2025-01-06 00:00:00,API latency increased significantly,High,303
INC100007,notification-service,P4,Closed,Security,2025-01-06 20:00:00,Messages delayed in processing,High,181
INC100008,auth-service,P3,Resolved,Security,2025-01-07 16:00:00,Service returning intermittent 5xx errors,Critical,223
INC100009,payment-api,P2,Closed,Platform,2025-01-08 12:00:00,Service returning intermittent 5xx errors,High,392
INC100010,inventory-service,P1,Investigating,Application Support,2025-01-09 08:00:00,Database connection pool exhausted,None,412
INC100011,vpn-service,P4,Investigating,SRE,2025-01-10 04:00:00,Inventory data synchronization failed,Medium,140
INC100012,notification-service,P1,Closed,DBA,2025-01-11 00:00:00,Messages delayed in processing,High,56
INC100013,data-platform,P2,Closed,Application Support,2025-01-11 20:00:00,VPN connections failing after password reset,Medium,361
INC100014,notification-service,P3,Closed,DBA,2025-01-12 16:00:00,VPN connections failing after password reset,Medium,576
INC100015,data-platform,P2,Resolved,Application Support,2025-01-13 12:00:00,Service returning intermittent 5xx errors,Critical,118
INC100016,inventory-service,P3,Investigating,SRE,2025-01-14 08:00:00,API latency increased significantly,High,299
INC100017,auth-service,P4,Closed,DBA,2025-01-15 04:00:00,Service returning intermittent 5xx errors,High,124
INC100018,data-platform,P1,Investigating,Security,2025-01-16 00:00:00,Inventory data synchronization failed,Medium,181
INC100019,order-service,P4,Investigating,DBA,2025-01-16 20:00:00,Inventory data synchronization failed,Low,444
INC100020,inventory-service,P4,Resolved,Application Support,2025-01-17 16:00:00,API latency increased significantly,Medium,213
INC100021,customer-portal,P3,Closed,Network,2025-01-18 12:00:00,API latency increased significantly,Critical,197
INC100022,auth-service,P2,Closed,Security,2025-01-19 08:00:00,API latency increased significantly,High,716
INC100023,vpn-service,P3,Closed,Network,2025-01-20 04:00:00,Application deployment caused errors,High,132
INC100024,data-platform,P2,Closed,Application Support,2025-01-21 00:00:00,Database connection pool exhausted,None,144
INC100025,notification-service,P3,Investigating,SRE,2025-01-21 20:00:00,Inventory data synchronization failed,Critical,670
INC100026,order-service,P4,Resolved,Platform,2025-01-22 16:00:00,Database connection pool exhausted,Low,400
INC100027,data-platform,P4,Closed,SRE,2025-01-23 12:00:00,Messages delayed in processing,Critical,40
INC100028,inventory-service,P4,Investigating,Security,2025-01-24 08:00:00,VPN connections failing after password reset,Medium,311
INC100029,order-service,P3,Resolved,Platform,2025-01-25 04:00:00,API latency increased significantly,Critical,411
INC100030,order-service,P3,Resolved,Platform,2025-01-26 00:00:00,Application deployment caused errors,Critical,189
INC100031,auth-service,P4,Investigating,Application Support,2025-01-26 20:00:00,Messages delayed in processing,High,399
INC100032,payment-api,P3,Closed,Network,2025-01-27 16:00:00,Inventory data synchronization failed,Critical,470
INC100033,inventory-service,P3,Closed,SRE,2025-01-28 12:00:00,Application deployment caused errors,High,187
INC100034,vpn-service,P1,Open,SRE,2025-01-29 08:00:00,Users unable to authenticate,Critical,586
INC100035,payment-api,P2,Closed,Platform,2025-01-30 04:00:00,Service returning intermittent 5xx errors,None,331
INC100036,data-platform,P3,Closed,Application Support,2025-01-31 00:00:00,VPN connections failing after password reset,None,694
INC100037,data-platform,P2,Closed,DBA,2025-01-31 20:00:00,API latency increased significantly,Medium,72
INC100038,customer-portal,P2,Closed,Application Support,2025-02-01 16:00:00,Database connection pool exhausted,Critical,240
INC100039,notification-service,P4,Resolved,Platform,2025-02-02 12:00:00,Users unable to authenticate,High,522
INC100040,auth-service,P4,Closed,Network,2025-02-03 08:00:00,Database connection pool exhausted,Medium,645
INC100041,data-platform,P3,Resolved,SRE,2025-02-04 04:00:00,Database connection pool exhausted,Medium,167
INC100042,notification-service,P4,Resolved,Network,2025-02-05 00:00:00,API latency increased significantly,High,705
INC100043,customer-portal,P4,Investigating,DBA,2025-02-05 20:00:00,Messages delayed in processing,Critical,147
INC100044,payment-api,P2,Closed,Security,2025-02-06 16:00:00,VPN connections failing after password reset,Critical,305
INC100045,vpn-service,P3,Resolved,Network,2025-02-07 12:00:00,Database connection pool exhausted,None,233
INC100046,order-service,P3,Resolved,Security,2025-02-08 08:00:00,Service returning intermittent 5xx errors,Medium,311
INC100047,vpn-service,P2,Closed,DBA,2025-02-09 04:00:00,VPN connections failing after password reset,Low,650
INC100048,notification-service,P4,Resolved,Platform,2025-02-10 00:00:00,Users unable to authenticate,High,530
INC100049,data-platform,P3,Resolved,Application Support,2025-02-10 20:00:00,API latency increased significantly,Medium,575
INC100050,data-platform,P3,Investigating,Network,2025-02-11 16:00:00,Database connection pool exhausted,Critical,190
INC100051,auth-service,P2,Resolved,SRE,2025-02-12 12:00:00,Users unable to authenticate,Medium,682
INC100052,customer-portal,P2,Resolved,Application Support,2025-02-13 08:00:00,Database connection pool exhausted,High,319
INC100053,order-service,P4,Resolved,Application Support,2025-02-14 04:00:00,API latency increased significantly,None,472
INC100054,order-service,P1,Resolved,SRE,2025-02-15 00:00:00,Inventory data synchronization failed,Critical,505
INC100055,payment-api,P2,Closed,Application Support,2025-02-15 20:00:00,Inventory data synchronization failed,None,480
INC100056,inventory-service,P2,Closed,Application Support,2025-02-16 16:00:00,Service returning intermittent 5xx errors,Low,437
INC100057,auth-service,P3,Closed,Security,2025-02-17 12:00:00,VPN connections failing after password reset,Critical,350
INC100058,notification-service,P3,Closed,Platform,2025-02-18 08:00:00,Messages delayed in processing,Critical,469
INC100059,notification-service,P3,Closed,DBA,2025-02-19 04:00:00,Database connection pool exhausted,Medium,652
INC100060,vpn-service,P2,Closed,DBA,2025-02-20 00:00:00,Database connection pool exhausted,Medium,286
INC100061,notification-service,P2,Closed,DBA,2025-02-20 20:00:00,Inventory data synchronization failed,None,372
INC100062,customer-portal,P4,Closed,DBA,2025-02-21 16:00:00,Database connection pool exhausted,Critical,137
INC100063,vpn-service,P3,Closed,DBA,2025-02-22 12:00:00,Service returning intermittent 5xx errors,None,262
INC100064,order-service,P3,Closed,DBA,2025-02-23 08:00:00,API latency increased significantly,None,558
INC100065,customer-portal,P3,Closed,Security,2025-02-24 04:00:00,API latency increased significantly,Medium,464
INC100066,vpn-service,P4,Investigating,DBA,2025-02-25 00:00:00,Database connection pool exhausted,None,159
INC100067,customer-portal,P1,Open,SRE,2025-02-25 20:00:00,Users unable to authenticate,None,397
INC100068,payment-api,P3,Closed,SRE,2025-02-26 16:00:00,Users unable to authenticate,High,586
INC100069,order-service,P3,Closed,Application Support,2025-02-27 12:00:00,Application deployment caused errors,High,98
INC100070,data-platform,P3,Resolved,Application Support,2025-02-28 08:00:00,Users unable to authenticate,Low,53
INC100071,auth-service,P4,Closed,DBA,2025-03-01 04:00:00,Messages delayed in processing,High,288
INC100072,order-service,P3,Closed,Platform,2025-03-02 00:00:00,Messages delayed in processing,High,476
INC100073,auth-service,P4,Closed,Security,2025-03-02 20:00:00,VPN connections failing after password reset,Low,232
INC100074,notification-service,P4,Investigating,SRE,2025-03-03 16:00:00,Application deployment caused errors,High,592
INC100075,order-service,P3,Resolved,Network,2025-03-04 12:00:00,Service returning intermittent 5xx errors,Medium,611
INC100076,customer-portal,P4,Closed,Platform,2025-03-05 08:00:00,API latency increased significantly,Critical,388
INC100077,auth-service,P3,Closed,SRE,2025-03-06 04:00:00,Users unable to authenticate,None,278
INC100078,inventory-service,P4,Closed,Security,2025-03-07 00:00:00,VPN connections failing after password reset,Low,39
INC100079,notification-service,P3,Closed,DBA,2025-03-07 20:00:00,Messages delayed in processing,Low,593
INC100080,vpn-service,P3,Closed,Platform,2025-03-08 16:00:00,Application deployment caused errors,Low,645
INC100081,order-service,P3,Resolved,DBA,2025-03-09 12:00:00,Database connection pool exhausted,Critical,324
INC100082,auth-service,P2,Resolved,SRE,2025-03-10 08:00:00,Users unable to authenticate,High,376
INC100083,data-platform,P3,Resolved,Network,2025-03-11 04:00:00,Application deployment caused errors,Medium,544
INC100084,notification-service,P4,Closed,DBA,2025-03-12 00:00:00,Messages delayed in processing,Medium,503
INC100085,notification-service,P3,Closed,Network,2025-03-12 20:00:00,Inventory data synchronization failed,Critical,106
INC100086,payment-api,P2,Resolved,Security,2025-03-13 16:00:00,Database connection pool exhausted,Medium,487
INC100087,customer-portal,P3,Closed,Platform,2025-03-14 12:00:00,Database connection pool exhausted,Low,666
INC100088,data-platform,P2,Resolved,SRE,2025-03-15 08:00:00,Database connection pool exhausted,None,542
INC100089,data-platform,P1,Investigating,DBA,2025-03-16 04:00:00,Messages delayed in processing,Low,351
INC100090,order-service,P4,Investigating,Application Support,2025-03-17 00:00:00,Users unable to authenticate,High,381
INC100091,data-platform,P3,Open,Network,2025-03-17 20:00:00,Application deployment caused errors,Medium,194
INC100092,data-platform,P3,Closed,SRE,2025-03-18 16:00:00,Users unable to authenticate,Medium,479
INC100093,order-service,P3,Resolved,Application Support,2025-03-19 12:00:00,Database connection pool exhausted,Medium,181
INC100094,vpn-service,P1,Closed,Network,2025-03-20 08:00:00,API latency increased significantly,Critical,252
INC100095,customer-portal,P2,Closed,Platform,2025-03-21 04:00:00,Messages delayed in processing,Critical,198
INC100096,auth-service,P4,Investigating,DBA,2025-03-22 00:00:00,Messages delayed in processing,None,248
INC100097,notification-service,P3,Investigating,Platform,2025-03-22 20:00:00,Application deployment caused errors,None,270
INC100098,notification-service,P4,Closed,Application Support,2025-03-23 16:00:00,Inventory data synchronization failed,Low,68
INC100099,auth-service,P3,Resolved,Platform,2025-03-24 12:00:00,Users unable to authenticate,Critical,519
INC100100,data-platform,P3,Closed,DBA,2025-03-25 08:00:00,Users unable to authenticate,Medium,323
INC100101,auth-service,P4,Investigating,DBA,2025-03-26 04:00:00,Application deployment caused errors,Critical,684
INC100102,data-platform,P4,Closed,Platform,2025-03-27 00:00:00,Database connection pool exhausted,High,138
INC100103,payment-api,P4,Closed,Network,2025-03-27 20:00:00,Service returning intermittent 5xx errors,Medium,485
INC100104,data-platform,P4,Resolved,SRE,2025-03-28 16:00:00,Inventory data synchronization failed,Low,137
INC100105,data-platform,P4,Resolved,DBA,2025-03-29 12:00:00,Messages delayed in processing,Low,398
INC100106,data-platform,P4,Closed,Security,2025-03-30 08:00:00,Service returning intermittent 5xx errors,None,358
INC100107,notification-service,P2,Resolved,Application Support,2025-03-31 04:00:00,Inventory data synchronization failed,Medium,328
INC100108,order-service,P4,Resolved,Platform,2025-04-01 00:00:00,VPN connections failing after password reset,Low,474
