ticket_id,created_date,category,priority,status,support_team,ticket_text,customer_impact,resolution_minutes
TKT200000,2025-02-01 00:00:00,Network,High,In Progress,Security,Database query timing out,Low,996
TKT200001,2025-02-01 18:00:00,VPN,Medium,In Progress,Application Support,Customer portal showing an error,High,561
TKT200002,2025-02-02 12:00:00,Access,Medium,New,SRE,Unable to connect to corporate VPN,High,43
TKT200003,2025-02-03 06:00:00,Network,High,New,Platform,Data refresh has not completed,High,898
TKT200004,2025-02-04 00:00:00,Performance,Critical,In Progress,Platform,User cannot access required application,High,950
TKT200005,2025-02-04 18:00:00,Application,Medium,In Progress,DBA,User cannot access required application,Low,281
TKT200006,2025-02-05 12:00:00,Performance,Medium,In Progress,DBA,Password reset completed but login still fails,Medium,403
TKT200007,2025-02-06 06:00:00,Network,Medium,New,Application Support,User cannot access required application,Medium,30
TKT200008,2025-02-07 00:00:00,VPN,Medium,In Progress,Application Support,Unable to connect to corporate VPN,Critical,802
TKT200009,2025-02-07 18:00:00,Authentication,Medium,New,Security,Data refresh has not completed,High,776
TKT200010,2025-02-08 12:00:00,Network,High,New,Platform,Customer portal showing an error,High,25
TKT200011,2025-02-09 06:00:00,Network,Medium,In Progress,SRE,Database query timing out,High,703
TKT200012,2025-02-10 00:00:00,Performance,High,Resolved,Application Support,Network connectivity is intermittent,Medium,414
TKT200013,2025-02-10 18:00:00,Network,Medium,Resolved,Application Support,Network connectivity is intermittent,Critical,547
TKT200014,2025-02-11 12:00:00,Performance,High,Closed,Platform,Unable to connect to corporate VPN,High,222
TKT200015,2025-02-12 06:00:00,Authentication,High,Closed,SRE,Unable to connect to corporate VPN,Critical,816
TKT200016,2025-02-13 00:00:00,Network,Medium,Assigned,Security,Application is responding slowly,High,407
TKT200017,2025-02-13 18:00:00,Performance,Medium,Resolved,DBA,Unable to connect to corporate VPN,High,840
TKT200018,2025-02-14 12:00:00,VPN,Medium,New,Application Support,User cannot access required application,Low,152
TKT200019,2025-02-15 06:00:00,Database,Medium,Closed,DBA,User cannot access required application,High,589
TKT200020,2025-02-16 00:00:00,Performance,Low,Assigned,Security,User cannot access required application,Low,313
TKT200021,2025-02-16 18:00:00,Application,Low,Resolved,Security,Unable to connect to corporate VPN,High,966
TKT200022,2025-02-17 12:00:00,Performance,Low,Closed,SRE,Data refresh has not completed,High,559
