service_id,service_name,business_domain,owner_team,criticality,sla_hours,environment,support_window
SRV0001,vpn-service,Infrastructure,Network,Medium,2,Production,Extended Hours
SRV0002,payment-api,Customer Experience,Security,Medium,24,Production,Extended Hours
SRV0003,data-platform,Payments,Security,High,8,Production,Business Hours
SRV0004,data-platform,Identity,DBA,Critical,1,Production,24x7
SRV0005,data-platform,Payments,DBA,High,24,Development,24x7
SRV0006,auth-service,Commerce,DBA,High,48,Production,24x7
SRV0007,vpn-service,Commerce,Platform,High,2,Production,Business Hours
SRV0008,inventory-service,Payments,Platform,Low,48,Production,Extended Hours
SRV0009,order-service,Data,Application Support,High,24,Development,24x7
SRV0010,notification-service,Payments,DBA,High,24,Production,Business Hours
SRV0011,customer-portal,Infrastructure,Application Support,Medium,4,Production,Business Hours
SRV0012,customer-portal,Infrastructure,DBA,Medium,1,Development,24x7
SRV0013,customer-portal,Infrastructure,Network,Critical,4,Production,Business Hours
SRV0014,inventory-service,Payments,DBA,High,24,Production,Extended Hours
SRV0015,inventory-service,Customer Experience,Security,Low,8,Production,Extended Hours
SRV0016,auth-service,Data,Platform,Critical,8,Production,Business Hours
SRV0017,auth-service,Customer Experience,Network,Medium,24,Development,24x7
SRV0018,vpn-service,Infrastructure,Security,Medium,4,Production,Extended Hours
SRV0019,inventory-service,Data,SRE,High,1,Production,24x7
SRV0020,data-platform,Payments,SRE,Medium,48,Production,Extended Hours
SRV0021,customer-portal,Infrastructure,SRE,High,8,Production,Extended Hours
SRV0022,customer-portal,Commerce,DBA,High,8,Production,24x7
SRV0023,customer-portal,Customer Experience,Platform,High,8,Development,Extended Hours
SRV0024,inventory-service,Infrastructure,Network,Low,48,Production,24x7
SRV0025,data-platform,Payments,SRE,High,24,Development,Business Hours
SRV0026,inventory-service,Customer Experience,Platform,Critical,24,Staging,24x7
SRV0027,customer-portal,Payments,SRE,Low,24,Production,24x7
SRV0028,vpn-service,Identity,Security,High,2,Staging,Extended Hours
SRV0029,inventory-service,Identity,Network,Low,24,Staging,Business Hours
SRV0030,order-service,Customer Experience,Platform,Medium,48,Production,Business Hours
SRV0031,payment-api,Payments,DBA,Medium,2,Production,Business Hours
SRV0032,inventory-service,Customer Experience,Application Support,Medium,8,Production,Extended Hours
SRV0033,inventory-service,Identity,Security,Medium,24,Production,Extended Hours
SRV0034,vpn-service,Data,Application Support,Critical,8,Staging,Business Hours
SRV0035,auth-service,Payments,Network,Low,48,Production,24x7
SRV0036,auth-service,Commerce,Network,Low,4,Production,24x7
SRV0037,vpn-service,Data,Platform,Low,2,Production,Business Hours
SRV0038,inventory-service,Infrastructure,Platform,Medium,1,Production,24x7
SRV0039,payment-api,Customer Experience,Application Support,Medium,48,Staging,24x7
SRV0040,payment-api,Infrastructure,SRE,Medium,24,Staging,24x7
SRV0041,order-service,Data,Application Support,Critical,8,Staging,Extended Hours
SRV0042,inventory-service,Identity,Application Support,Medium,4,Production,Business Hours
SRV0043,auth-service,Identity,Application Support,Medium,4,Production,Extended Hours
SRV0044,customer-portal,Customer Experience,DBA,Medium,48,Staging,Business Hours
SRV0045,notification-service,Data,Application Support,High,24,Production,Business Hours
SRV0046,vpn-service,Customer Experience,SRE,Medium,48,Staging,Extended Hours
SRV0047,order-service,Commerce,Security,Medium,24,Production,Extended Hours
SRV0048,order-service,Commerce,DBA,High,24,Production,24x7
